"id","name","extra_gene","synonyms","url"
"STAT3","signal transducer and activator of transcription 3 (acute-phase response factor)","STAT3","6774,ENSG00000168610,P40763,STAT3","https://www.ncbi.nlm.nih.gov/gene/?term=6774"
"KTN1","kinectin 1 (kinesin receptor)","KTN1","3895,ENSG00000126777,KTN1,Q86UP2","https://www.ncbi.nlm.nih.gov/gene/?term=3895"
"SKI","SKI proto-oncogene","SKI","6497,ENSG00000157933,P12755,SKI","https://www.ncbi.nlm.nih.gov/gene/?term=6497"
"FOXR1","forkhead box R1","FOXR1","283150,ENSG00000176302,FOXR1,Q6PIV2","https://www.ncbi.nlm.nih.gov/gene/?term=283150"
"COL3A1","collagen type III alpha 1 chain","COL3A1","1281,COL3A1,EDS4A,ENSG00000168542,P02461","https://www.ncbi.nlm.nih.gov/gene/?term=1281"
"NFIB","nuclear factor I/B","NFIB","4781,ENSG00000147862,NFIB,O00712","https://www.ncbi.nlm.nih.gov/gene/?term=4781"
"WT1","Wilms tumour 1 gene","WT1","7490,ENSG00000184937,GUD,WT1","https://www.ncbi.nlm.nih.gov/gene/?term=7490"
"ETNK1","ethanolamine kinase 1","ETNK1","55500,ENSG00000139163,ETNK1,Q9HBU6","https://www.ncbi.nlm.nih.gov/gene/?term=55500"
"RFWD3","ring finger and WD repeat domain 3","RFWD3","55159,ENSG00000168411,Q6PCD5,RFWD3","https://www.ncbi.nlm.nih.gov/gene/?term=55159"
"ABI1","abl-interactor 1","ABI1","10006,ABI1,ENSG00000136754,Q8IZP0,SSH3BP1","https://www.ncbi.nlm.nih.gov/gene/?term=10006"
"CCDC6","coiled-coil domain containing 6","CCDC6","8030,CCDC6,D10S170,ENSG00000108091,Q16204,TST1","https://www.ncbi.nlm.nih.gov/gene/?term=8030"
"GOPC","golgi associated PDZ and coiled-coil motif containing","GOPC","57120,ENSG00000047932,GOPC,Q9HD26","https://www.ncbi.nlm.nih.gov/gene/?term=57120"
"CRLF2","cytokine receptor-like factor 2","CRLF2","","https://www.ncbi.nlm.nih.gov/gene/?term=64109"
"ZNF331","zinc finger protein 331","ZNF331","55422,ENSG00000130844,Q9NQX6,ZNF331","https://www.ncbi.nlm.nih.gov/gene/?term=55422"
"CSF3R","colony stimulating factor 3 receptor (granulocyte)","CSF3R","1441,CD114,CSF3R,ENSG00000119535,Q99062","https://www.ncbi.nlm.nih.gov/gene/?term=1441"
"CTNND2","catenin delta 2","CTNND2","1501,CTNND2,ENSG00000169862,Q9UQB3","https://www.ncbi.nlm.nih.gov/gene/?term=1501"
"CTNND1","catenin delta 1","CTNND1","1500,CTNND,CTNND1,ENSG00000198561,O60716","https://www.ncbi.nlm.nih.gov/gene/?term=1500"
"NAB2","NGFI-A binding protein 2","NAB2","4665,ENSG00000166886,NAB2,Q15742","https://www.ncbi.nlm.nih.gov/gene/?term=4665"
"IRS4","insulin receptor substrate 4","IRS4","8471,ENSG00000133124,IRS4,O14654","https://www.ncbi.nlm.nih.gov/gene/?term=8471"
"TNC","tenascin C","TNC","3371,DFNA56,ENSG00000041982,HXB,P24821,TNC","https://www.ncbi.nlm.nih.gov/gene/?term=3371"
"CASC5","cancer susceptibility candidate 5","CASC5","57082,CASC5,ENSG00000137812,MCPH4,Q8NG31","https://www.ncbi.nlm.nih.gov/gene/?term=57082"
"MSI2","musashi homolog 2 (Drosophila)","MSI2","124540,ENSG00000153944,MSI2,Q96DH6","https://www.ncbi.nlm.nih.gov/gene/?term=124540"
"STK11","serine/threonine kinase 11 gene (LKB1)","STK11","6794,ENSG00000118046,Q15831,STK11","https://www.ncbi.nlm.nih.gov/gene/?term=6794"
"CYSLTR2","cysteinyl leukotriene receptor 2","CYSLTR2","57105,CYSLTR2,ENSG00000152207,Q9NS75","https://www.ncbi.nlm.nih.gov/gene/?term=57105"
"CDH1","cadherin 1, type 1, E-cadherin (epithelial) (ECAD)","CDH1","999,CDH1,ENSG00000039068,P12830,UVO","https://www.ncbi.nlm.nih.gov/gene/?term=999"
"SALL4","spalt like transcription factor 4","SALL4","57167,ENSG00000101115,Q9UJQ4,SALL4","https://www.ncbi.nlm.nih.gov/gene/?term=57167"
"PIM1","pim-1 oncogene","PIM1","5292,ENSG00000137193,P11309,PIM,PIM1","https://www.ncbi.nlm.nih.gov/gene/?term=5292"
"SSX4","synovial sarcoma, X breakpoint 4","SSX4","6759,ENSG00000204645,O60224,SSX4","https://www.ncbi.nlm.nih.gov/gene/?term=6759"
"NBN","nibrin","NBN","4683,ENSG00000104320,NBN,NBS,NBS1,O60934","https://www.ncbi.nlm.nih.gov/gene/?term=4683"
"MB21D2","Mab-21 domain containing 2","MB21D2","151963,C3orf59,ENSG00000180611,MB21D2,Q8IYB1","https://www.ncbi.nlm.nih.gov/gene/?term=151963"
"SSX2","synovial sarcoma, X breakpoint 2","SSX2","6757,ENSG00000241476,Q16385,SSX,SSX2","https://www.ncbi.nlm.nih.gov/gene/?term=6757"
"ROS1","v-ros UR2 sarcoma virus oncogene homolog 1 (avian)","ROS1","6098,ENSG00000047936,P08922,ROS1","https://www.ncbi.nlm.nih.gov/gene/?term=6098"
"WHSC1L1","Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3)","WHSC1L1","54904,ENSG00000147548,Q9BZ95,WHSC1L1","https://www.ncbi.nlm.nih.gov/gene/?term=54904"
"MEN1","multiple endocrine neoplasia type 1 gene","MEN1","4221,ENSG00000133895,MEN1,O00255","https://www.ncbi.nlm.nih.gov/gene/?term=4221"
"SSX1","synovial sarcoma, X breakpoint 1","SSX1","6756,ENSG00000126752,Q16384,SSX1","https://www.ncbi.nlm.nih.gov/gene/?term=6756"
"NUTM2A","NUT family member 2A","NUTM2A","ENSG00000214562,FAM22D,NUTM2D,Q5VT03","https://www.ncbi.nlm.nih.gov/gene/?term=728118"
"MAP2K4","mitogen-activated protein kinase kinase 4","MAP2K4","6416,ENSG00000065559,MAP2K4,P45985,SERK1","https://www.ncbi.nlm.nih.gov/gene/?term=6416"
"RNF43","ring finger protein 43","RNF43","54894,ENSG00000108375,Q68DV7,RNF43","https://www.ncbi.nlm.nih.gov/gene/?term=54894"
"USP8","ubiquitin specific peptidase 8","USP8","9101,ENSG00000138592,P40818,USP8","https://www.ncbi.nlm.nih.gov/gene/?term=9101"
"MAP2K1","mitogen-activated protein kinase kinase 1","MAP2K1","5604,ENSG00000169032,MAP2K1,PRKMK1,Q02750","https://www.ncbi.nlm.nih.gov/gene/?term=5604"
"MAP2K2","mitogen-activated protein kinase kinase 2","MAP2K2","5605,ENSG00000126934,MAP2K2,P36507,PRKMK2","https://www.ncbi.nlm.nih.gov/gene/?term=5605"
"USP6","ubiquitin specific peptidase 6 (Tre-2 oncogene)","USP6","9098,ENSG00000129204,HRP1,P35125,TRESMCR,USP6","https://www.ncbi.nlm.nih.gov/gene/?term=9098"
"TPM4","tropomyosin 4","TPM4","7171,ENSG00000167460,P67936,TPM4","https://www.ncbi.nlm.nih.gov/gene/?term=7171"
"EIF1AX","eukaryotic translation initiation factor 1A, X-linked","EIF1AX","1964,EIF1A,EIF1AX,EIF4C,ENSG00000173674,P47813","https://www.ncbi.nlm.nih.gov/gene/?term=1964"
"FBXW7","F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)","FBXW7","55294,ENSG00000109670,FBXW7,Q969H0","https://www.ncbi.nlm.nih.gov/gene/?term=55294"
"TPM3","tropomyosin 3","TPM3","7170,ENSG00000143549,NEM1,P06753,TPM3","https://www.ncbi.nlm.nih.gov/gene/?term=7170"
"MITF","melanogenesis-associated transcription factor","MITF","4286,ENSG00000187098,MITF,O75030,WS2,WS2A","https://www.ncbi.nlm.nih.gov/gene/?term=4286"
"LARP4B","La ribonucleoprotein domain family member 4B","LARP4B","23185,ENSG00000107929,KIAA0217,LARP4B,LARP5,Q92615","https://www.ncbi.nlm.nih.gov/gene/?term=23185"
"FBXO11","F-box protein 11","FBXO11","80204,ENSG00000138081,FBXO11,Q86XK2","https://www.ncbi.nlm.nih.gov/gene/?term=80204"
"FOXP1","forkhead box P1","FOXP1","27086,ENSG00000114861,FOXP1,Q9H334","https://www.ncbi.nlm.nih.gov/gene/?term=27086"
"MSH6","mutS homolog 6 (E. coli)","MSH6","2956,ENSG00000116062,GTBP,MSH6,P52701","https://www.ncbi.nlm.nih.gov/gene/?term=2956"
"CLIP1","CAP-GLY domain containing linker protein 1","CLIP1","6249,CLIP1,ENSG00000130779,P30622,RSN","https://www.ncbi.nlm.nih.gov/gene/?term=6249"
"MAF","v-maf musculoaponeurotic fibrosarcoma oncogene homolog","MAF","4094,ENSG00000178573,MAF,O75444","https://www.ncbi.nlm.nih.gov/gene/?term=4094"
"MSH2","mutS homolog 2 (E. coli)","MSH2","4436,COCA1,ENSG00000095002,MSH2,P43246","https://www.ncbi.nlm.nih.gov/gene/?term=4436"
"SMO","smoothened homolog (Drosophila)","SMO","6608,ENSG00000128602,Q99835,SMO,SMOH","https://www.ncbi.nlm.nih.gov/gene/?term=6608"
"KAT6B","K(lysine) acetyltransferase 6B","KAT6B","23522,ENSG00000156650,KAT6B,MYST4,Q8WYB5","https://www.ncbi.nlm.nih.gov/gene/?term=23522"
"KAT6A","K(lysine) acetyltransferase 6A","KAT6A","","https://www.ncbi.nlm.nih.gov/gene/?term=7994"
"SRSF2","serine/arginine-rich splicing factor 2","SRSF2","6427,ENSG00000161547,Q01130,SFRS2,SRSF2","https://www.ncbi.nlm.nih.gov/gene/?term=6427"
"SRSF3","serine/arginine-rich splicing factor 3","SRSF3","6428,ENSG00000112081,P84103,SFRS3,SRSF3","https://www.ncbi.nlm.nih.gov/gene/?term=6428"
"MALAT1","metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA","MALAT1","",""
"ERG","v-ets erythroblastosis virus E26 oncogene like (avian)","ERG","2078,ENSG00000157554,ERG,P11308","https://www.ncbi.nlm.nih.gov/gene/?term=2078"
"FKBP9","FK506 binding protein 9","FKBP9","11328,ENSG00000122642,FKBP9,O95302","https://www.ncbi.nlm.nih.gov/gene/?term=11328"
"IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor)","IL6ST","3572,ENSG00000134352,IL6ST,P40189","https://www.ncbi.nlm.nih.gov/gene/?term=3572"
"NUTM2B","NUT family member 2B","NUTM2B","729262,A6NNL0,ENSG00000188199,FAM22B,NUTM2B","https://www.ncbi.nlm.nih.gov/gene/?term=729262"
"S100A7","S100 calcium binding protein A7","S100A7","6278,ENSG00000143556,P31151,PSOR1,S100A7","https://www.ncbi.nlm.nih.gov/gene/?term=6278"
"NOTCH2","Notch homolog 2","NOTCH2","4853,ENSG00000134250,NOTCH2,Q04721","https://www.ncbi.nlm.nih.gov/gene/?term=4853"
"CD274","CD274 molecule","CD274","29126,CD274,ENSG00000120217,PDCD1LG1,Q9NZQ7","https://www.ncbi.nlm.nih.gov/gene/?term=29126"
"CSF1R","colony stimulating factor 1 receptor","CSF1R","1436,CSF1R,ENSG00000182578,FMS,P07333","https://www.ncbi.nlm.nih.gov/gene/?term=1436"
"KMT2D","lysine (K)-specific methyltransferase 2D","KMT2D","8085,ENSG00000167548,KMT2D,MLL2,O14686,TNRC21","https://www.ncbi.nlm.nih.gov/gene/?term=8085"
"BLM","Bloom Syndrome","BLM","641,BLM,ENSG00000197299,P54132","https://www.ncbi.nlm.nih.gov/gene/?term=641"
"NOTCH1","Notch homolog 1, translocation-associated (Drosophila) (TAN1)","NOTCH1","4851,ENSG00000148400,NOTCH1,P46531,TAN1","https://www.ncbi.nlm.nih.gov/gene/?term=4851"
"CBFB","core-binding factor, beta subunit","CBFB","865,CBFB,ENSG00000067955,Q13951","https://www.ncbi.nlm.nih.gov/gene/?term=865"
"KMT2A","lysine (K)-specific methyltransferase 2A","KMT2A","4297,ENSG00000118058,KMT2A,MLL,Q03164","https://www.ncbi.nlm.nih.gov/gene/?term=4297"
"MAX","Myc associated factor X","MAX","10344,4149,CCL26,ENSG00000006606,ENSG00000125952,MAX,P61244,Q9Y258,SCYA26","https://www.ncbi.nlm.nih.gov/gene/?term=4149"
"CUL3","cullin 3","CUL3","8452,CUL3,ENSG00000036257,Q13618","https://www.ncbi.nlm.nih.gov/gene/?term=8452"
"KMT2C","lysine (K)-specific methyltransferase 2C","KMT2C","58508,ENSG00000055609,KMT2C,MLL3,Q8NEZ4","https://www.ncbi.nlm.nih.gov/gene/?term=58508"
"GMPS","guanine monphosphate synthetase","GMPS","8833,ENSG00000163655,GMPS,P49915","https://www.ncbi.nlm.nih.gov/gene/?term=8833"
"FOXO4","forkhead box O4","FOXO4","4303,ENSG00000184481,FOXO4,MLLT7,P98177","https://www.ncbi.nlm.nih.gov/gene/?term=4303"
"FOXO3","forkhead box O3","FOXO3","2309,ENSG00000118689,FKHRL1,FOXO3,FOXO3A,O43524","https://www.ncbi.nlm.nih.gov/gene/?term=2309"
"FHIT","fragile histidine triad gene","FHIT","2272,ENSG00000189283,FHIT,P49789","https://www.ncbi.nlm.nih.gov/gene/?term=2272"
"FOXO1","forkhead box O1","FOXO1","2308,ENSG00000150907,FKHR,FOXO1,FOXO1A,Q12778","https://www.ncbi.nlm.nih.gov/gene/?term=2308"
"BCL2L12","BCL2 like 12","BCL2L12","83596,BCL2L12,ENSG00000126453,Q9HB09","https://www.ncbi.nlm.nih.gov/gene/?term=83596"
"SOCS1","suppressor of cytokine signaling 1","SOCS1","8651,ENSG00000185338,O15524,SOCS1","https://www.ncbi.nlm.nih.gov/gene/?term=8651"
"ZNF429","zinc finger protein 429","ZNF429","353088,ENSG00000197013,Q86V71,ZNF429","https://www.ncbi.nlm.nih.gov/gene/?term=353088"
"CLTCL1","clathrin, heavy polypeptide-like 1","CLTCL1","8218,CLTCL,CLTCL1,ENSG00000070371,P53675","https://www.ncbi.nlm.nih.gov/gene/?term=8218"
"TPR","translocated promoter region","TPR","7175,ENSG00000047410,P12270,TPR","https://www.ncbi.nlm.nih.gov/gene/?term=7175"
"UBR5","ubiquitin protein ligase E3 component n-recognin 5","UBR5","51366,EDD1,ENSG00000104517,O95071,UBR5","https://www.ncbi.nlm.nih.gov/gene/?term=51366"
"ABL1","v-abl Abelson murine leukemia viral oncogene homolog 1","ABL1","25,ABL,ABL1,ENSG00000097007,P00519","https://www.ncbi.nlm.nih.gov/gene/?term=25"
"ABL2","c-abl oncogene 2, non-receptor tyrosine kinase","ABL2","27,ABL2,ABLL,ENSG00000143322,P42684","https://www.ncbi.nlm.nih.gov/gene/?term=27"
"TNFRSF17","tumor necrosis factor receptor superfamily, member 17","TNFRSF17","608,BCMA,ENSG00000048462,Q02223,TNFRSF17","https://www.ncbi.nlm.nih.gov/gene/?term=608"
"TNFRSF14","tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)","TNFRSF14","8764,ENSG00000157873,Q92956,TNFRSF14","https://www.ncbi.nlm.nih.gov/gene/?term=8764"
"KDSR","3-ketodihydrosphingosine reductase","KDSR","2531,ENSG00000119537,FVT1,KDSR,Q06136","https://www.ncbi.nlm.nih.gov/gene/?term=2531"
"SRGAP3","SLIT-ROBO Rho GTPase activating protein 3","SRGAP3","9901,ENSG00000196220,O43295,SRGAP2,SRGAP3","https://www.ncbi.nlm.nih.gov/gene/?term=9901"
"FUS","fusion, derived from t(12","FUS","",""
"ZBTB16","zinc finger and BTB domain containing 16","ZBTB16","7704,ENSG00000109906,Q05516,ZBTB16,ZNF145","https://www.ncbi.nlm.nih.gov/gene/?term=7704"
"FANCA","Fanconi anemia, complementation group A","FANCA","2175,ENSG00000187741,FACA,FANCA,FANCH,O15360","https://www.ncbi.nlm.nih.gov/gene/?term=2175"
"FANCC","Fanconi anemia, complementation group C","FANCC","2176,ENSG00000158169,FACC,FANCC,Q00597","https://www.ncbi.nlm.nih.gov/gene/?term=2176"
"FANCE","Fanconi anemia, complementation group E","FANCE","2178,ENSG00000112039,FACE,FANCE,Q9HB96","https://www.ncbi.nlm.nih.gov/gene/?term=2178"
"PALB2","partner and localizer of BRCA2","PALB2","79728,ENSG00000083093,PALB2,Q86YC2","https://www.ncbi.nlm.nih.gov/gene/?term=79728"
"FANCG","Fanconi anemia, complementation group G","FANCG","2189,ENSG00000221829,FANCG,O15287,XRCC9","https://www.ncbi.nlm.nih.gov/gene/?term=2189"
"QKI","QKI, KH domain containing, RNA binding","QKI","9444,ENSG00000112531,Q96PU8,QKI","https://www.ncbi.nlm.nih.gov/gene/?term=9444"
"FANCF","Fanconi anemia, complementation group F","FANCF","2188,ENSG00000183161,FANCF,Q9NPI8","https://www.ncbi.nlm.nih.gov/gene/?term=2188"
"NFKB2","nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)","NFKB2","","https://www.ncbi.nlm.nih.gov/gene/?term=4791"
"PTPRD","protein tyrosine phosphatase, receptor type D","PTPRD","5789,ENSG00000153707,P23468,PTPRD","https://www.ncbi.nlm.nih.gov/gene/?term=5789"
"BCL9","B-cell CLL/lymphoma 9","BCL9","607,BCL9,ENSG00000116128,O00512","https://www.ncbi.nlm.nih.gov/gene/?term=607"
"PTPRB","protein tyrosine phosphatase, receptor type, B","PTPRB","5787,ENSG00000127329,P23467,PTPB,PTPRB","https://www.ncbi.nlm.nih.gov/gene/?term=5787"
"CDK6","cyclin-dependent kinase 6","CDK6","1021,CDK6,ENSG00000105810,Q00534","https://www.ncbi.nlm.nih.gov/gene/?term=1021"
"MAFB","v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)","MAFB","9935,ENSG00000204103,KRML,MAFB,Q9Y5Q3","https://www.ncbi.nlm.nih.gov/gene/?term=9935"
"PTPRC","protein tyrosine phosphatase, receptor type, C","PTPRC","5788,CD45,ENSG00000081237,PTPRC","https://www.ncbi.nlm.nih.gov/gene/?term=5788"
"BCL6","B-cell CLL/lymphoma 6","BCL6","604,BCL6,ENSG00000113916,P41182,ZNF51","https://www.ncbi.nlm.nih.gov/gene/?term=604"
"NBEA","neurobeachin","NBEA","26960,ENSG00000172915,NBEA","https://www.ncbi.nlm.nih.gov/gene/?term=26960"
"CDK4","cyclin-dependent kinase 4","CDK4","1019,CDK4,ENSG00000135446,P11802","https://www.ncbi.nlm.nih.gov/gene/?term=1019"
"NACA","nascent-polypeptide-associated complex alpha polypeptide","NACA","4666,ENSG00000196531,NACA,Q13765","https://www.ncbi.nlm.nih.gov/gene/?term=4666"
"BCL3","B-cell CLL/lymphoma 3","BCL3","602,BCL3,BCL4,D19S37,ENSG00000069399,P20749","https://www.ncbi.nlm.nih.gov/gene/?term=602"
"CNOT3","CCR4-NOT transcription complex subunit 3","CNOT3","4849,CNOT3,ENSG00000088038,NOT3,O75175","https://www.ncbi.nlm.nih.gov/gene/?term=4849"
"BCL2","B-cell CLL/lymphoma 2","BCL2","596,BCL2,ENSG00000171791,P10415","https://www.ncbi.nlm.nih.gov/gene/?term=596"
"MDM2","Mdm2 p53 binding protein homolog","MDM2","4193,ENSG00000135679,MDM2,Q00987","https://www.ncbi.nlm.nih.gov/gene/?term=4193"
"NF1","neurofibromatosis type 1 gene","NF1","4763,ENSG00000196712,NF1,P21359","https://www.ncbi.nlm.nih.gov/gene/?term=4763"
"FGFR1OP","FGFR1 oncogene partner (FOP)","FGFR1OP","11116,ENSG00000213066,FGFR1OP,O95684","https://www.ncbi.nlm.nih.gov/gene/?term=11116"
"MDM4","Mdm4 p53 binding protein homolog","MDM4","4194,ENSG00000198625,MDM4,O15151","https://www.ncbi.nlm.nih.gov/gene/?term=4194"
"NF2","neurofibromatosis type 2 gene","NF2","4771,ENSG00000186575,NF2,P35240","https://www.ncbi.nlm.nih.gov/gene/?term=4771"
"LZTR1","leucine-zipper-like transcription regulator 1","LZTR1","8216,ENSG00000099949,LZTR1,Q8N653","https://www.ncbi.nlm.nih.gov/gene/?term=8216"
"MAP3K13","mitogen-activated protein kinase kinase kinase 13","MAP3K13","9175,ENSG00000073803,MAP3K13,O43283","https://www.ncbi.nlm.nih.gov/gene/?term=9175"
"MYD88","myeloid differentiation primary response gene (88)","MYD88","4615,ENSG00000172936,MYD88","https://www.ncbi.nlm.nih.gov/gene/?term=4615"
"NFE2L2","nuclear factor (erythroid-derived 2)-like 2 (NRF2)","NFE2L2","4780,ENSG00000116044,NFE2L2,Q16236","https://www.ncbi.nlm.nih.gov/gene/?term=4780"
"ALK","anaplastic lymphoma kinase (Ki-1)","ALK","238,ALK,ENSG00000171094,Q9UM73","https://www.ncbi.nlm.nih.gov/gene/?term=238"
"CNTNAP2","contactin associated protein like 2","CNTNAP2","26047,CNTNAP2,ENSG00000174469,Q9UHC6","https://www.ncbi.nlm.nih.gov/gene/?term=26047"
"CIITA","class II, major histocompatibility complex, transactivator","CIITA","4261,CIITA,ENSG00000179583,MHC2TA,P33076","https://www.ncbi.nlm.nih.gov/gene/?term=4261"
"TRA","T cell receptor alpha locus","TRA","","https://www.ncbi.nlm.nih.gov/gene/?term=6955"
"HSP90AB1","heat shock protein 90kDa alpha (cytosolic), class B member 1","HSP90AB1","3326,ENSG00000096384,HSP90AB1,HSPC2,HSPCB,P08238","https://www.ncbi.nlm.nih.gov/gene/?term=3326"
"NUMA1","nuclear mitotic apparatus protein 1","NUMA1","4926,ENSG00000137497,NUMA1,Q14980","https://www.ncbi.nlm.nih.gov/gene/?term=4926"
"FLT3","fms-related tyrosine kinase 3","FLT3","2322,ENSG00000122025,FLT3,P36888","https://www.ncbi.nlm.nih.gov/gene/?term=2322"
"TRB","T cell receptor beta locus","TRB","","https://www.ncbi.nlm.nih.gov/gene/?term=6957"
"FLT4","fms-related tyrosine kinase 4","FLT4","2324,ENSG00000037280,FLT4,P35916","https://www.ncbi.nlm.nih.gov/gene/?term=2324"
"TRD","T cell receptor delta locus","TRD","","https://www.ncbi.nlm.nih.gov/gene/?term=6964"
"PTEN","phosphatase and tensin homolog gene","PTEN","5728,BZS,ENSG00000171862,MHAM,P60484,PTEN","https://www.ncbi.nlm.nih.gov/gene/?term=5728"
"PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","PIK3CB","5291,ENSG00000051382,P42338,PIK3C1,PIK3CB","https://www.ncbi.nlm.nih.gov/gene/?term=5291"
"CDC73","cell division cycle 73","CDC73","79577,C1orf28,CDC73,ENSG00000134371,HRPT1,HRPT2,Q6P1J9","https://www.ncbi.nlm.nih.gov/gene/?term=79577"
"PPP6C","protein phosphatase 6, catalytic subunit","PPP6C","5537,ENSG00000119414,O00743,PPP6C","https://www.ncbi.nlm.nih.gov/gene/?term=5537"
"KIAA1549","KIAA1549","KIAA1549","57670,ENSG00000122778,KIAA1549","https://www.ncbi.nlm.nih.gov/gene/?term=57670"
"DGCR8","DGCR8, microprocessor complex subunit","DGCR8","54487,C22orf12,DGCR8,ENSG00000128191,Q8WYQ5","https://www.ncbi.nlm.nih.gov/gene/?term=54487"
"ITGAV","integrin subunit alpha V","ITGAV","3685,ENSG00000138448,ITGAV,MSK8,P06756,VNRA,VTNR","https://www.ncbi.nlm.nih.gov/gene/?term=3685"
"ERC1","ELKS/RAB6-interacting/CAST family member 1","ERC1","23085,ENSG00000082805,ERC1,Q8IUD2,RAB6IP2","https://www.ncbi.nlm.nih.gov/gene/?term=23085"
"ZNF521","zinc finger protein 521","ZNF521","25925,ENSG00000198795,Q96K83,ZNF521","https://www.ncbi.nlm.nih.gov/gene/?term=25925"
"HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","HSP90AA1","3320,ENSG00000080824,HSP90AA1,HSPC1,HSPCA,P07900","https://www.ncbi.nlm.nih.gov/gene/?term=3320"
"ATRX","alpha thalassemia/mental retardation syndrome X-linked","ATRX","546,ATRX,ENSG00000085224,JMS,MRX52,P46100,RAD54","https://www.ncbi.nlm.nih.gov/gene/?term=546"
"DNMT3A","DNA (cytosine-5-)-methyltransferase 3 alpha","DNMT3A","1788,DNMT3A,ENSG00000119772,Q9Y6K1","https://www.ncbi.nlm.nih.gov/gene/?term=1788"
"ARNT","aryl hydrocarbon receptor nuclear translocator","ARNT","405,ARNT,ENSG00000143437,P27540","https://www.ncbi.nlm.nih.gov/gene/?term=405"
"FOXL2","forkhead box L2","FOXL2","","https://www.ncbi.nlm.nih.gov/gene/?term=668"
"NRG1","neuregulin 1","NRG1","3084,ENSG00000157168,HGL,NRG1,NRG1-IT2,Q02297","https://www.ncbi.nlm.nih.gov/gene/?term=3084"
"SMC1A","structural maintenance of chromosomes 1A","SMC1A","8243,ENSG00000072501,Q14683,SMC1A,SMC1L1","https://www.ncbi.nlm.nih.gov/gene/?term=8243"
"TRAF7","tumour necrosis factor receptor-associated factor 7","TRAF7","84231,ENSG00000131653,Q6Q0C0,RFWD1,TRAF7","https://www.ncbi.nlm.nih.gov/gene/?term=84231"
"DUX4L1","double homeobox 4 like 1","DUX4L1","22947,DUX4,ENSG00000258389","https://www.ncbi.nlm.nih.gov/gene/?term=22947"
"PIK3CA","phosphoinositide-3-kinase, catalytic, alpha polypeptide","PIK3CA","5290,ENSG00000121879,P42336,PIK3CA","https://www.ncbi.nlm.nih.gov/gene/?term=5290"
"LCK","lymphocyte-specific protein tyrosine kinase","LCK","3932,ENSG00000182866,LCK,P06239","https://www.ncbi.nlm.nih.gov/gene/?term=3932"
"BIRC6","baculoviral IAP repeat containing 6","BIRC6","57448,BIRC6,ENSG00000115760,Q9NR09","https://www.ncbi.nlm.nih.gov/gene/?term=57448"
"LCP1","lymphocyte cytosolic protein 1 (L-plastin)","LCP1","3936,ENSG00000136167,LCP1,P13796","https://www.ncbi.nlm.nih.gov/gene/?term=3936"
"TOP1","topoisomerase (DNA) I","TOP1","7150,ENSG00000198900,P11387,TOP1","https://www.ncbi.nlm.nih.gov/gene/?term=7150"
"MET","met proto-oncogene (hepatocyte growth factor receptor)","MET","4233,ENSG00000105976,MET,P08581","https://www.ncbi.nlm.nih.gov/gene/?term=4233"
"BIRC3","baculoviral IAP repeat-containing 3","BIRC3","330,API2,BIRC3,ENSG00000023445,Q13489","https://www.ncbi.nlm.nih.gov/gene/?term=330"
"CEBPA","CCAAT/enhancer binding protein (C/EBP), alpha","CEBPA","1050,CEBP,CEBPA,ENSG00000245848,P49715","https://www.ncbi.nlm.nih.gov/gene/?term=1050"
"SMARCD1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1","SMARCD1","6602,ENSG00000066117,Q96GM5,SMARCD1","https://www.ncbi.nlm.nih.gov/gene/?term=6602"
"NUTM1","NUT midline carcinoma, family member 1","NUTM1","256646,C15orf55,ENSG00000184507,NUTM1,Q86Y26","https://www.ncbi.nlm.nih.gov/gene/?term=256646"
"CANT1","calcium activated nucleotidase 1","CANT1","124583,CANT1,ENSG00000171302,Q8WVQ1","https://www.ncbi.nlm.nih.gov/gene/?term=124583"
"PLAG1","pleiomorphic adenoma gene 1","PLAG1","5324,ENSG00000181690,PLAG1,Q6DJT9","https://www.ncbi.nlm.nih.gov/gene/?term=5324"
"SRC","SRC proto-oncogene, non-receptor tyrosine kinase","SRC","6714,ENSG00000197122,P12931,SRC,SRC1","https://www.ncbi.nlm.nih.gov/gene/?term=6714"
"PRCC","papillary renal cell carcinoma (translocation-associated)","PRCC","5546,ENSG00000143294,PRCC,Q92733","https://www.ncbi.nlm.nih.gov/gene/?term=5546"
"MLLT1","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","MLLT1","",""
"U2AF1","U2 small nuclear RNA auxiliary factor 1","U2AF1","7307,ENSG00000160201,Q01081,U2AF1,U2AFBP","https://www.ncbi.nlm.nih.gov/gene/?term=7307"
"MLLT3","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","MLLT3","",""
