"id","genome","chrband","tumorGermline","tumorSomatic","syndrome","tissueType"
"SMC1A","X:53380103-53422600","Xp11.22","AML","","","L"
"TRAF7","16:2163921-2176574","16p13.3","meningioma","","","O"
"DUX4L1","4:190084229-190085686","4q35","soft tissue sarcoma","","","M"
"PIK3CA","3:179198826-179234364","3q26.3","colorectal, gastric, glioblastoma, breast","","","E,O"
"LCK","1:32274330-32285716","1p35-p34.3","T-ALL","","","L"
"BIRC6","2:32357162-32617904","2p22.3","melanoma, gastric adenocarcinoma, lung adenocarcinoma","","","E"
"LCP1","13:46127591-46159662","13q14.1-q14.3","NHL","","","L"
"TOP1","20:41029068-41123297","20q12-q13.1","AML*","","","L"
"MET","7:116699085-116796124","7q31","papillary renal, head-neck squamous cell","papillary renal","familial papillary renal cancer","E"
"BIRC3","11:102324510-102337102","11q22","CLL, MALT, MCL, MM","","","L"
"CEBPA","19:33301338-33302414","19q13.1","AML, MDS","","","L"
"SMARCD1","12:50085487-50099000","12q13-q14","breast","","","E"
"NUTM1","15:34346021-34357492","15q14","lethal midline carcinoma","","","E"
"CANT1","17:78993550-78997622","17q25","prostate","","","E"
"PLAG1","8:56166243-56168269","8q12","salivary adenoma, lipoblastoma","","","E"
"SRC","20:37384154-37403379","20q11.23","colorectal cancer, endometrial carcinoma","","","E"
"PRCC","1:156767772-156800460","1q21.1","papillary renal","","","E"
"MLLT1","","","","","",""
"U2AF1","21:43093102-43107494","21q22.3","CLL, MDS","","","L"
"MLLT3","","","","","",""
"PPM1D","17:60600415-60663552","17q23.3","glioma, ovarian cancer, breast cancer","","","E"
"MLLT4","","","","","",""
"MALT1","18:58671645-58747843","18q21","MALT","","","L"
"MLLT6","","","","","",""
"P2RY8","X,Y:1465479-1466558","Xp22.3","","","",""
"DNAJB1","19:14515940-14518349","19p13.2","fibrolamellar hepatocellular carcinoma","","","E"
"ZNRF3","22:28987076-29053622","22q12.1","colorectal cancer, adrenocortical carcinoma, gastric cancer","","","E"
"FIP1L1","4:53377840-53459450","4q12","idiopathic hypereosinophilic syndrome","","","L"
"IL21R","16:27430073-27449284","16p11","NHL","","","L"
"IGF2BP2","3:185645531-185824960","3q27.2","lymphoma","","","L"
"SH2B3","12:111418146-111448302","12q24.12","MPN, sAML, erythrocytosis, B-ALL","","","L"
"JAZF1","7:27832800-28180577","7p15.2-p15.1","endometrial stromal tumour","","","M"
"NTRK1","1:156860935-156881642","1q21-q22","papillary thyroid, Spitzoid tumour","","","E"
"SMARCE1","17:40628785-40645626","17q21.2","","meningioma","","O"
"KCNJ5","","","","","",""
"PRRX1","1:170664220-170730332","1q24","AML","","","L"
"CNBP","3:129170453-129171757","3q21","aneurysmal bone cyst","","","M"
"MACC1","7:20140946-20161862","7p21.1","liver, CRC","","","E"
"NTRK3","15:87876935-88256153","15q25","congenital fibrosarcoma, secretory breast","","","E,M"
"PTPN11","12:112419112-112504764","12q24.1","JMML, AML, MDS","","","L"
"KLF4","9:107485751-107489172","9q31","meningioma","","","O"
"PTPN13","4:86635257-86814551","4q21.3","lung, NSCLC, gastric, peritoneal carcinomatosis","hepatocellular","Familial Hepatocellular Carcinoma","E"
"MTOR","1:11107485-11259409","1p36","endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types","","","E"
"PML","15:73994813-74045008","15q22","APL, ALL","","","L"
"TBX3","12:114671841-114683200","12q24.21","breast, large intestine, skin","","","E"
"ASXL1","20:32358776-32437338","20q11.1","MDS, CMML","","","L"
"KLF6","10:3779539-3785014","10p15","prostate, glioma","","","E,O"
"NIN","14:50725872-50822056","14q24","MPN","","","L"
"APC","5:112754891-112844126","5q21","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","adenomatous polyposis coli",""
"POU2AF1","11:111354261-111379177","11q23.1","NHL","","","L"
"ASXL2","2:25742029-25759640","2p23.3","melanoma, CCRCC, AML","","","E,L"
"EIF3E","8:108201885-108248702","8q22-q23","colorectal","","","E"
"PTPN6","12:6951513-6960864","12p13.31","DLBCL","","","L"
"BCOR","X:40052109-40077929","Xp11.4","retinoblastoma, AML, APL (translocation)","","","L,M"
"FCGR2B","1:161663242-161677553","1q23","ALL","","","L"
"TRIM33","1:114397648-114511076","1p13","papillary thyroid","","","E"
"EIF4A2","3:186783611-186789269","3q27.3","NHL","","","L"
"SMARCB1","22:23787170-23834180","22q11","malignant rhabdoid","malignant rhabdoid","rhabdoid predisposition syndrome","M"
"PRF1","10:70598053-70600902","10q22","","various leukaemia, lymphoma","","L"
"CBLC","19:44777932-44800443","19q13.2","AML","","","L"
"KEAP1","19:10486652-10500033","19p13.2","NSCLC, breast carcinoma","","","E"
"CBLB","3:105658970-105867577","3q13.11","AML","","","L"
"CCNC","6:99991431-100010824","6q16.2","T-ALL","","","L"
"IKZF1","7:50319062-50400628","7p12.2","ALL, DLBCL","","","L"
"SOX2","3:181712361-181713314","3q26.3-q27","NSCLC, oesophageal squamous carcinoma","","","E"
"TCL1A","14:95711755-95714066","14q32.1","T-CLL","","","L"
"GOLGA5","14:92797439-92839447","14q","papillary thyroid, Spitzoid tumour","","","E"
"HMGN2P46","-0.625","15q21.1","prostate","","","E"
"PPP2R1A","19:52190097-52225981","19q13.41","clear cell ovarian carcinoma","","","E"
"CHEK2","22:28687897-28734721","22q12.1","","breast","familial breast cancer","E"
"KDR","4:55079941-55125293","4q11-q12","NSCLC, angiosarcoma","melanoma","","E"
"TRIM24","7:138460549-138584951","7q32-q34","APL","","","L"
"KAT7","17:49788835-49827502","17q21.33","CCRCC","","","E"
"TRIM27","6:28904070-28923632","6p22","papillary thyroid","","","E"
"B2M","15:44711547-44716342","15q21.1","DLBCL, melanoma, colorectal adenocarcinoma","","","E,L"
"TP63","3:189631516-189894502","3q28","HNSCC, DLBCL","NSCLC","","E"
"ACVR1","2:157737531-157799493","2q23-q24","DIPG","","","O"
"SLC34A2","4:25662501-25676749","4p15.2","NSCLC","","","E"
"EPHA7","6:93243426-93419341","6q16.1","CRC, melanoma","","","E"
"OMD","9:92415152-92417558","9q22.31","aneurysmal bone cyst","","","M"
"ACSL6","5:131954234-132011553","5q31.1","AML, AEL","","","L"
"EBF1","5:158699111-159099478","5q34","lipoma","","","M"
"ACSL3","2:222908773-222941654","2q36","prostate","","","E"
"HLA-A","6:29942554-29945455","6p21.3","Spitzoid tumour","","","E"
"HNF1A","12:120978769-121001192","12q24.2","hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma","familial hepatic adenoma","E"
"ANK1","8:41655727-41797538","8p11.21","CCRCC","","","E"
"CRNKL1","20:20036195-20056014","20p11.23","base cell carcinoma","","","E"
"RUNX1","21:34792135-35048899","21q22.3","AML, pre B-ALL, T-ALL","","","L"
"SFRP4","7:37907479-37916537","7p14.1","colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC","","","E"
"MDS2","1:23629556-23640550","1p36","MDS","","","L"
"AKAP9","7:91941100-92110159","7q21-q22","papillary thyroid","","","E"
"BTK","X:101349885-101375284","Xq21.33-q22","CLL, mantle cell lymphoma, WM","","","L"
"MTCP1","X:155061843-155064023","Xq28","T cell prolymphocytic leukaemia","","","L"
"BCORL1","X:130005232-130056136","Xq25-q26.1","AML, HNSCC","","","E,L"
"EZR","6:158766914-158818093","6q25.3","NSCLC","","","E"
"TP53","17:7669609-7676594","17p13","breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types","Li-Fraumeni syndrome","L,E,M,O"
"EPHA3","3:89107749-89479502","3p11.1","lung cancer, CRC, melanoma","","","E"
"SLC45A3","1:205659234-205664656","1q32","prostate","","","E"
"SDC4","20:45327264-45348384","20q12","NSCLC","","","E"
"EPAS1","2:46297912-46384660","2p21-p16","paraganglioma, pheochromocytoma, central nervous system hemangioblastomas","","","E,M"
"KLK2","19:50873474-50878559","19q13.41","prostate","","","E"
"PIK3R1","5:68226676-68297601","5q13.1","glioblastoma, ovarian, colorectal","","","E,O"
"CD79B","17:63929226-63932261","17q23","DLBCL, WM","","","L"
"C2orf44","2:24030933-24039494","2p23.3","colorectal","","","E"
"CD79A","19:41877305-41880980","19q13.2","DLBCL, WM","","","L"
"BRIP1","17:61683296-61861539","17q22","","AML, leukaemia, breast","Fanconi anaemia J, breast cancer susceptiblity","L,E"
"PCBP1","2:70087744-70088814","2p13.3","CRC","","","E"
"HIST1H3B","6:26031650-26032060","6p22.1","glioma","","","O"
"N4BP2","4:40097341-40154237","4p14","lung cancer","","","E"
"RALGDS","9:133098587-133121154","9q34.3","PMBL, Hodgkin lymphoma,","","","L"
"RBM10","X:47147482-47186599","Xp11.3","lung adenocarcinoma","","","E"
"STAT5B","17:42201738-42232127","17q11.2","large granular lymphocytic leukaemia, skin basal cell, APL","","","L,E"
"WWTR1","3:149520805-149657306","3q23-q24","epithelioid haemangioendothelioma","","","M"
"ZRSR2","X:15790496-15823242","Xp22.1","MDS, CLL","","","L"
"BCL11B","14:99174151-99271218","14q32.1","T-ALL","","","L"
"SETDB1","1:150927715-150964364","1q21.3","malignant mesothelioma","","","E"
"BCL11A","2:60460404-60553270","2p13","B-CLL","","","L"
"SS18L1","20:62143822-62179209","20q13.3","synovial sarcoma","","","M"
"MYO5A","15:52313696-52528806","15q21","Spitzoid tumour","","","E"
"PTK6","20:63529536-63537314","20q13.3","renal, gastric, head and neck, ovarian, others","","","E"
"SMARCA4","19:10984152-11061816","19p13.2","NSCLC, SCCOHT","","","E"
"EXT1","8:117799712-118111046","8q24.11-q24.13","","exostoses, osteosarcoma","multiple exostoses type 1","M"
"EXT2","11:44107713-44244287","11p12-p11","","exostoses, osteosarcoma","multiple exostoses type 2","M"
"STAG1","3:136338254-136630898","3q22.3","colorectal cancer, AML","","","E,L"
"STAG2","X:124022628-124100597","Xq25","bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms","","","E,L,M,O"
"CD209","19:7743039-7747511","19p13.2","prostate carcinoma","","","E"
"FUBP1","1:77949146-77979004","1p13.1","oligodendroglioma","","","O"
"WNK2","9:93184972-93318027","9q22.31","gastric cancer","","","E"
"CD28","2:203706697-203734912","2q33.2","T-cell lymphoma","","","L"
"ID3","1:23558960-23559426","1p36.12","Burkitt lymphoma","","","L"
"ATM","11:108227625-108365508","11q22.3","T-PLL","leukaemia, lymphoma, medulloblastoma, glioma","ataxia-telangiectasia","L,O"
"HIST1H4I","6:27107089-27107660","6p21.3","NHL","","","L"
"CALR","19:12938680-12943913","19p13.3-p13.2","MPN, MDS","","","L"
"BAP1","3:52402288-52409878","3p21.31-p21.2","uveal melanoma, breast, NSCLC, RCC","mesothelioma, uveal melanoma","","E"
"APOBEC3B","22:38982454-38992445","22q13.1","","breast cancer","","E"
"ATR","3:142449429-142578704","3q23","endometrial, gastric, epithelial ovarian, myeloma","oropharyngeal","familial cutaneous telangiectasia and cancer syndrome","E"
"PTPRT","20:42080879-43189733","20q12-q13","HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma","","","E"
"ROBO2","3:77040786-77646055","3p12.3","colorectal adenocarcinoma, melanoma","","","E"
"FEN1","11:61795362-61796504","11q12.2","","breast cancer","","E"
"HIP1","7:75538172-75738920","7q11.23","CMML, NSCLC","","","L,E"
"BRCA1","17:43045678-43124096","17q21","ovarian","breast, ovarian","hereditary breast/ovarian cancer","E"
"PTPRK","6:127970227-128520358","6q22.2-q22.3","colorectal","","","E"
"BRCA2","13:32316461-32398770","13q12","breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)","hereditary breast/ovarian cancer","L,E"
"HERPUD1","16:56932245-56943290","16q12.2-q13","prostate","","","E"
"PCM1","8:17935611-18027662","8p22-p21.3","papillary thyroid, CML, MPN","","","E,L"
"XPO1","2:61478820-61533897","2p15","CLL","","","L"
"ZMYM3","X:71240916-71253255","Xq13.1","CRC, breast cancer","","","E"
"SUFU","10:102504153-102630155","10q24.32","medulloblastoma","medulloblastoma","medulloblastoma predisposition","O"
"CNTRL","9:121088328-121177187","9q33.2","MPN, NHL","","","L"
"CCR7","17:40554742-40565409","17q21.2","adult T-cell leukaemia/lymphoma","","","L"
"RAC1","7:6374736-6402446","7p22","melanoma, carcinoma","","","E"
"CCR4","3:32953423-32954505","3p22.3","adult T-cell leukaemia/lymphoma","","","L"
"HRAS","11:532636-534322","11p15.5","infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder","Costello syndrome","E,L,M"
"NCOA1","2:24658678-24768391","2p23","alveolar rhabdomyosarcoma","","","M"
"NCOA2","8:70113632-70216745","8q13.1","AML, chondrosarcoma, rhabdomyosarcoma","","","L,M"
"PBRM1","3:52548063-52679711","3p21","clear cell renal carcinoma, breast","","","E"
"SYK","9:90843899-90895600","9q22","MDS, peripheral T-cell lymphoma","","","L"
"NCOA4","10:51579142-51586417","10q11.2","papillary thyroid","","","E"
"TFE3","X:49030158-49043226","Xp11.22","papillary renal, alveolar soft part sarcoma, renal","","","E"
"TFEB","6:41684599-41691213","6p21","renal cell carcinoma (childhood epithelioid)","","","E,M"
"PRPF40B","12:49630608-49644192","12q13.12","melanoma, colon carcinoma, MDS","","","E,L"
"RHOH","4:40243387-40243962","4p13","NHL","","","L"
"PDCD1LG2","9:5522547-5569959","9p24.2","PMBL, Hodgkin lymphoma","","","L"
"CBFA2T3","","","","","",""
"MLF1","3:158571302-158605203","3q25.1","AML","","","L"
"RHOA","3:49360209-49375589","3p21.3","diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma","","","E,L"
"VAV1","19:6772808-6857107","19p13.3","T-cell lymphoma","","","L"
"RAD51B","14:67823544-68594603","14q23-q24.2","lipoma, uterine leiomyoma","","","M"
"MN1","22:27750915-27800543","22q12.1","AML, MDS","","","L"
"KIT","4:54658015-54738557","4q12","GIST, AML, TGCT, mastocytosis, mucosal melanoma","GIST, epithelioma","familial gastrointestinal stromal tumour","L,M,O,E"
"PABPC1","8:100704298-100721583","8q22.3","HNSCC, biliary tract carcinoma","","","E"
"SGK1","6:134170268-134174807","6q23.2","Nodular lymphocyte predominant Hodgkin lymphoma","","","L"
"DDR2","1:162719064-162780246","1q12-q23","squamous cell carcinoma, NSCLC","","","E"
"AMER1","X:64186117-64193286","Xq11.2","Wilms tumour","","","O"
"FAM47C","X:37008411-37011518","Xp21.1","melanoma, clear cell sarcoma of soft parts, SCLC","","","E,M"
"WAS","X:48683854-48691162","Xp11.23-p11.22","","lymphoma","Wiskott-Aldrich syndrome","L"
"CXCR4","2:136114869-136115939","2q21","WM","","","L"
"TMPRSS2","21:41466142-41498133","21q22.3","prostate","","","E"
"RGPD3","2:106405219-106468288","2q12.2","endometrioid adenocarcinoma","","","E"
"CUX1","7:101817640-102249042","7q22.1","endometrial, melanoma, colorectal, AML, MDS, other tumour types","","","E,L,M,O"
"WIF1","12:65051349-65121191","12q14.3","pleomorphic salivary gland adenoma","","","E"
"LMNA","1:156114919-156139106","1q22","Spitzoid tumour","","","E"
"GPC3","X:133536124-133985449","Xq26.1","","Wilms tumour","Simpson-Golabi-Behmel syndrome","O"
"GPC5","13:91399047-92866439","13q31.3","lung adenocarcinoma","","","E"
"CTNNA2","-0.08333333333333333","2p12","gastric cancer","","","E"
"EPS15","1:51356700-51519231","1p32","ALL","","","L"
"RANBP2","2:108719607-108783901","2q12.3","inflammatory myofibroblastic tumour","","","M"
"SUZ12","17:31937247-31999003","17q11.2","endometrial stromal tumour","","","M"
"CD74","5:150402584-150412749","5q32","NSCLC","","","E"
"NPM1","5:171387949-171410565","5q35","NHL, APL, AML","","","L"
"MAP3K1","5:56152434-56189507","5q11.2","luminal A breast","","","E"
"CDX2","13:27963115-27969006","13q12.3","AML","","","L"
"FAM46C","1:117622869-117624044","1p12","MM","","","L"
"IGH","-0.5833333333333334","14q32.33","MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS","","","L"
"COX6C","8:99878148-99892021","8q22-q23","uterine leiomyoma","","","M"
"IGK","-0.08333333333333333","2p12","Burkitt lymphoma, B-NHL","","","L"
"MLH1","3:36993548-37050653","3p21.3","colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E,O"
"IGL","-0.9166666666666666","22q11.2","Burkitt lymphoma","","","L"
"PER1","17:8141068-8150706","17p13.1-17p12","AML, CMML","","","L"
"HNRNPA2B1","7:26190125-26200577","7p15","prostate","","","E"
"CTNNB1","3:41224069-41239342","3p22-p21.3","colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types","","","E,M,O"
"FAS","10:88990877-89014450","10q24.1","TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related","","","L,E,O"
"TCEA1","8:53970288-53984488","8q11.2","salivary adenoma","","","E"
"TRIP11","14:91969673-92039685","14q31-q32","AML","","","L"
"CARS","11:3001114-3057367","11p15.5","ALCL","","","L"
"FOXA1","14:37591365-37594972","14q12-q13","breast, prostate","","","E"
"CRTC3","15:90530072-90642140","15q26.1","salivary gland mucoepidermoid","","","E"
"CRTC1","19:18683703-18777382","19p13.11","salivary gland mucoepidermoid","","","E"
"MPL","1:43337849-43352772","1p34","MPN","MPN","familial essential thrombocythemia","L"
"BUB1B","15:40161221-40220759","15q15","","rhabdomyosarcoma","mosaic variegated aneuploidy","M"
"PRDM2","1:13715606-13816547","1p36.21","glioma, colon adenocarcinoma, gastric carcinoma, ovarian carcinoma, HNSCC","","","E,O"
"PRDM1","6:106088267-106107486","6q21","DLBCL","","","L"
"HOXA13","7:27198198-27200077","7p15-p14.2","AML","","","L"
"HOXA11","7:27182796-27185144","7p15-p14.2","CML","","","L"
"CCND3","6:41935940-41941649","6p21","MM","","","L"
"CCND2","12:4274041-4300009","12p13","NHL,CLL","","","L"
"CCND1","11:69641314-69651282","11q13","CLL, B-ALL, breast","","","L,E"
"KIF5B","10:32009010-32055973","10p11.22","NSCLC, Spitzoid tumour","","","E"
"CHCHD7","8:56214614-56217435","8q11.2","salivary adenoma","","","E"
"EP300","22:41093005-41178956","22q13","colorectal, breast, pancreatic, AML, ALL, DLBCL","","","L,E"
"SIRPA","20:1895448-1937568","20p13","HNSCC, colorectal cancer, Lung SCC","","","E"
"ARID2","12:45729837-45905078","12q12","hepatocellular carcinoma","","","E"
"RGS7","1:240776163-241355776","1q43","melanoma","","","E"
"SH3GL1","19:4361600-4400368","19p13.3","AL","","","L"
"LMO1","11:8224616-8268634","11p15","T-ALL, neuroblastoma","neuroblastoma","","L"
"PDGFRB","5:150115763-150137047","5q31-q32","MPN, AML, CMML, CML","","","L"
"PDGFRA","4:54258769-54295272","4q11-q13","GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma","GIST","familial gastrointestinal stromal tumour","L,M,O"
"LMO2","11:33859356-33869386","11p13","T-ALL","","","L"
"TSC2","16:2048616-2088610","16p13.3","pulmonary lymphangioleiomyomatosis (LAM), renal angiomyolipoma, HNSCC","hamartoma, renal cell carcinoma, tuberous sclerosis tuber","Tuberous sclerosis 2","E,O"
"LIFR","5:38481595-38530647","5p13-p12","salivary adenoma","","","E"
"SDHC","1:161314406-161362433","1q21","","paraganglioma, pheochromocytoma","familial paraganglioma","O"
"TSC1","9:132896235-132928872","9q34","renal cell carcinoma, bladder carcinoma","hamartoma, renal cell carcinoma, tuberous sclerosis tuber","Tuberous sclerosis 1","E,O"
"SDHD","11:112086908-112094970","11q23","","paraganglioma, pheochromocytoma","familial paraganglioma","O"
"SDHA","5:218356-256420","5p15","GIST, paraganglioma","paraganglioma","paragangliomas-5 (PGL5)","M,O"
"SDHB","1:17018881-17054019","1p36.1-p35","","paraganglioma, pheochromocytoma","familial paraganglioma","O"
"CCNB1IP1","14:20311550-20316523","14q11.2","leiomyoma","","","M"
"MYCL","1:39900814-39901434","1p34.2","small cell lung carcinoma","","","E"
"MYCN","2:15942065-15946097","2p24.1","neuroblastoma, Wilms tumour","","","O"
"CCNE1","19:29812556-29823777","19q12","serous ovarian","","","E"
"FANCD2","3:10028658-10098950","3p26","","AML, leukaemia","Fanconi anaemia D2","L"
"TBL1XR1","3:177025498-177064977","3q26.32","splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma","","","L,E,M"
"SBDS","7:66988371-66995417","7q11","","AML, MDS","Schwachman-Diamond syndrome","L"
"RAF1","3:12584514-12618721","3p25","pilocytic astrocytoma, prostate","","","O,E"
"CARD11","7:2906638-2958506","7p22","DLBCL","","","L"
"ZCCHC8","12:122473497-122500840","12q24.31","Spitzoid tumour","","","E"
"DDX6","11:118754712-118786218","11q23.3","B-NHL","","","L"
"DDX5","17:64499923-64506119","17q21","prostate","","","E"
"CACNA1D","3:53495167-53811406","3p14.3","adrenal aldosterone producing adenoma","","","E"
"FBLN2","3:13618090-13637919","3p25.1","breast cancer, colorectal adenocarcinoma","","","E"
"LPP","3:188406122-188874480","3q28","lipoma, leukaemia","","","L,M"
"NDRG1","8:133238878-133284311","8q24.3","prostate","","","E"
"NCKIPSD","3:48674544-48685807","3p21","ALL","","","L"
"TMEM127","2:96253808-96265381","2q11.2","","pheochromocytoma, renal cell carcinoma","","O,E"
"C15orf65","-0.625","15q21.3","PMBL, Hodgkin lymphoma","","","L"
"CAMTA1","1:6785531-7766491","1p36.31-p36.23","epithelioid haemangioendothelioma","","","M"
"MYH11","16:15708811-15838252","16p13.13-p13.12","AML","","","L"
"BCL9L","11:118898415-118909939","11q23.3","colorectal cancer, endometrial carcinoma, gastric cancer","","","E"
"SMAD2","18:47841827-47896756","18q21","colorectal carcinoma, hepatocellular carcinoma","","","E"
"SPECC1","17:20096653-20314066","17p11.2","JMML","","","L"
"SMAD4","18:51047047-51078467","18q21.1","colorectal, pancreatic, small intestine","gastrointestinal polyp","juvenile polyposis","E"
"STIL","1:47251136-47310319","1p32","T-ALL","","","L"
"ZFHX3","16:72787164-72960145","16q22.3","endometrial, gastric, prostate","","","E"
"SMAD3","15:67066155-67190536","15q21-q22","colorectal carcinoma, oral squamous cell carcinoma","","","E"
"MUC16","19:8949776-8981138","19p13.2","HNSCC, melanoma","","","E"
"LHFP","13:39343936-39601216","13q12","lipoma","","","M"
"IDH1","2:208237079-208251551","2q33.3","glioblastoma","","","O"
"NONO","X:71290638-71300076","Xq13.1","papillary renal","","","E"
"PTCH1","9:95446912-95508361","9q22.3","skin basal cell, medulloblastoma","skin basal cell, medulloblastoma","nevoid basal cell carcinoma syndrome","E,M"
"IDH2","15:90084266-90102390","15q26.1","glioblastoma","","","O"
"ASPSCR1","17:81977648-82017323","17q25","alveolar soft part sarcoma","","","M"
"HMGA1","6:34240781-34244884","6p21","microfollicular thyroid adenoma, various benign mesenchymal tumours","","","E,M"
"HMGA2","12:65825271-65963292","12q15","lipoma, leiomyoma, pleomorphic salivary gland adenoma","","","M"
"MSN","X:65667842-65739893","Xq11.2-q12","ALCL","","","L"
"HOOK3","8:42897132-43018498","8p11.21","papillary thyroid","","","E"
"ARHGAP26","5:142770762-143222446","5q31","AML, MDS","","","L"
"ESR1","6:151807913-152098966","6q25.1","breast","","","E"
"IL2","4:122451752-122456440","4q26-q27","intestinal T-cell lymphoma","","","L"
"LRP1B","2:140233186-142130729","2q21.2","CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer","","","E,L"
"PHOX2B","4:41745807-41748610","4p12","neuroblastoma","neuroblastoma","familial neuroblastoma","O"
"BMP5","6:55755533-55874865","6p12.1","melanoma","","","E"
"NR4A3","9:99828041-99863867","9q22","extraskeletal myxoid chondrosarcoma","","","M"
"TLX3","5:171309367-171311600","5q35.1","T-ALL","","","L"
"FES","15:90885046-90895558","15q26.1","HNSCC, ovarian carcinoma","","","E"
"FEV","2:218981667-218985075","2q36","Ewing sarcoma","","","M"
"GNAQ","9:77721323-78031235","9q21","uveal melanoma, primary central nervous system melanocytic neoplasms","","","E,O"
"TLX1","10:101131543-101136914","10q24","T-ALL","","","L"
"GNAS","20:58891727-58910829","20q13.2","pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia","","","E,M"
"TCF3","19:1611707-1650248","19p13.3","pre B-ALL","","","L"
"FGFR4","5:177089603-177097676","5q35.2","rhabdomyosarcoma","","","M"
"IL7R","5:35856978-35876486","5p13","ALL, ETP ALL","","","L"
"NFKBIE","6:44259219-44265763","6p21.1","CLL, desmoplastic melanoma","","","L,E"
"FGFR3","4:1793935-1807262","4p16.3","bladder, MM, T-cell lymphoma","","","L,E"
"LSM14A","19:34172643-34227388","19q13.11","Spitzoid tumour","","","E"
"FGFR2","10:121479857-121593817","10q26","gastric, NSCLC, endometrial","","","E"
"BMPR1A","10:86876019-86923719","10q22.3","","gastrointestinal polyps","juvenile polyposis","E"
"FGFR1","8:38413628-38457446","8p11.2-p11.1","MPN, NHL, salivary adenoma","","","L"
"PICALM","11:85959046-86068780","11q14","T-ALL, AML","","","L"
"KDM5A","12:285456-389091","12p11","AML","","","L"
"YWHAE","17:1345447-1400110","17p13.3","endometrial stromal sarcoma","","","M"
"KDM5C","X:53192967-53224889","Xp11.22-p11.21","clear cell renal carcinoma","","","E"
"DDX3X","X:41334253-41347719","Xp11.4","CLL, medulloblastoma","","","L,O"
"PSIP1","9:15471207-15510188","9p22.3","AML","","","L"
"SIX1","14:60646283-60649189","14q23.1","Wilms tumour","","","O"
"TNFAIP3","6:137871228-137881319","6q23","marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL","","","L"
"ARHGEF10L","1:17580596-17697380","1p36.13","lymphoma","","","L"
"CHD4","12:6570676-6606373","12p13","uterine serous carcinoma","","","E"
"AFF3","2:99551474-100104454","2q11.2-q12","ALL, T-ALL","","","L"
"CHD2","15:92901238-93020325","15q26.1","melanoma, large intestine, CLL, monoclonal B lymphocytosis","","","E,L"
"AFF4","5:132881059-132937189","5q31","ALL","","","L"
"AFF1","4:87007409-87135702","4q21","AL","","","L"
"GPHN","14:66508529-67180938","14q24","AL","","","L"
"CASP9","1:15492943-15524200","1p36.21","glioma","","","O"
"GRM3","7:86765146-86864355","7q21.11-q21.12","melanoma, oral SCC","","","E"
"FLCN","17:17213655-17228137","17p11.2","","renal, fibrofolliculomas, trichodiscomas","Birt-Hogg-Dube syndrome","E,M"
"LYL1","19:13099319-13101171","19p13.2-p13.1","T-ALL","","","L"
"LASP1","17:38870190-38918778","17q11-q21.3","AML","","","L"
"CASP8","2:201266487-201286594","2q33-q34","hepatocellular, oral squamous cell, breast","","","E"
"ALDH2","12:111766983-111809575","12q24.2","leiomyoma","","","M"
"BCL7A","12:122022092-122059163","12q24.1","BNHL","","","L"
"CASP3","4:184629272-184638453","4q35.1","ovarian cancer","","","E"
"SIX2","2:45006170-45009110","2p21","Wilms tumour","","","O"
"WHSC1","4:1900655-1978909","4p16.3","MM","","","L"
"POLE","12:132624697-132687315","12q24.3","colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer","colorectal cancer susceptibility","","E"
"KDM6A","X:44873552-45111411","Xp11.2","renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types","","","E,L"
"POLG","15:89316751-89333754","15q26.1","CRC","","","E"
"ARHGEF10","8:1876561-1957263","8p23.3","colon cancer","","","E"
"ARHGEF12","11:120337244-120485077","11q23.3","AML","","","L"
"RBM15","1:110339407-110345610","1p13","acute megakaryocytic leukaemia","","","L"
